# z sig sig sig  nP nP V dn/DzDdeg(ELG) dn/DzDdeg(LRG) dn/DzDdeg(QSO)  sigmaf sigmaf
0.15   2.78   5.34   1.95   5.24   13.79   0.23   376    50     8   7.51   3.60   
0.25   1.87   3.51   1.30   3.24   8.19   0.56   347   125    23   5.24   2.55   
0.35   1.45   2.69   1.00   2.58   6.35   0.99   291   222    31   4.44   2.17   
0.45   1.19   2.20   0.82   2.36   5.74   1.46   285   332    31   3.92   1.91   
0.55   1.01   1.85   0.70   2.42   5.90   1.94   431   448    32   3.31   1.60   
0.65   0.87   1.60   0.60   2.58   6.34   2.42   722   563    34   2.80   1.34   
0.75   0.77   1.41   0.53   2.77   6.85   2.87   1112   675    37   2.47   1.18   
0.85   0.76   1.35   0.52   2.05   5.17   3.29   1333   471    44   2.34   1.11   
0.95   0.88   1.42   0.58   1.03   2.76   3.67   1401    91    50   2.34   1.13   
1.05   0.91   1.41   0.59   0.82   2.24   4.01   1469    11    56   2.32   1.12   
1.15   0.91   1.38   0.58   0.75   2.05   4.31   1483     0    62   2.30   1.12   
1.25   0.91   1.36   0.58   0.69   1.86   4.57   1421     0    69   2.32   1.14   
1.35   1.00   1.46   0.64   0.53   1.42   4.80   1120     0    75   2.45   1.26   
1.45   1.17   1.66   0.74   0.38   1.00   4.99   775     0    81   2.71   1.47   
1.55   1.50   2.04   0.93   0.25   0.63   5.15   460     0    83   3.22   1.89   
1.65   2.36   3.15   1.45   0.13   0.33   5.29   179     0    80   4.63   3.06   
1.75   3.62   4.87   2.23   0.08   0.19   5.40    49     0    77   7.17   5.14   
1.85   4.79   6.55   2.98   0.06   0.13   5.49     0     0    74   10.26   7.66   
